i1	00001740-a	00001740-a
i10	00003553-s	00003552-s
i100	00021110-s	00021147-s
i1000	00185020-s	00186320-s
i10000	01819976-s	01825480-s
i100000	11944196-n	11964665-n
i100001	11944569-n	11965038-n
i100002	11944751-n	11965220-n
i100003	11944954-n	11965423-n
i100004	11945228-n	11965697-n
i100005	11945367-n	11965836-n
i100006	11945514-n	11965983-n
i100007	11945783-n	11966252-n
i100008	11945930-n	11966399-n
i100009	11946051-n	11966520-n
i10001	01820103-a	01825607-a
i100010	11946313-n	11966782-n
i100011	11946433-n	11966902-n
i100012	11946584-n	11967053-n
i100013	11946727-n	11967196-n
i100014	11946918-n	11967387-n
i100015	11947079-n	11967548-n
i100016	11947251-n	11967720-n
i100017	11947429-n	11967898-n
i100018	11947629-n	11968098-n
i100019	11947802-n	11968271-n
i10002	01820338-a	01825842-a
i100020	11948044-n	11968513-n
i100021	11948264-n	11968733-n
i100022	11948469-n	11968938-n
i100023	11948656-n	11969125-n
i100024	11948864-n	11969333-n
i100025	11949015-n	11969484-n
i100026	11949217-n	11969686-n
i100027	11949402-n	11969871-n
i100028	11949707-n	11970176-n
i100029	11949857-n	11970326-n
i10003	01820481-a	01825985-a
i100030	11950028-n	11970497-n
i100031	11950345-n	11970814-n
i100032	11950686-n	11971155-n
i100033	11950877-n	11971346-n
i100034	11951052-n	11971521-n
i100035	11951271-n	11971740-n
i100036	11951385-n	11971854-n
i100037	11951511-n	11971980-n
i100038	11951820-n	11972289-n
i100039	11951961-n	11972430-n
i10004	01820684-s	01826188-s
i100040	11952058-n	11972527-n
i100041	11952153-n	11972622-n
i100042	11952346-n	11972815-n
i100043	11952541-n	11973010-n
i100044	11952900-n	11973369-n
i100045	11953038-n	11973507-n
i100046	11953339-n	11973808-n
i100047	11953610-n	11974079-n
i100048	11953762-n	11974231-n
i100049	11953884-n	11974353-n
i10005	01820861-a	01826365-a
i100050	11954161-n	11974630-n
i100051	11954345-n	11974814-n
i100052	11954484-n	11974953-n
i100053	11954642-n	11975111-n
i100054	11954798-n	11975267-n
i100055	11955040-n	11975509-n
i100056	11955153-n	11975622-n
i100057	11955398-n	11975867-n
i100058	11955532-n	11976001-n
