# OpenWN-PT	por	https://github.com/arademaker/wordnet-br	CC by SA 3.0
00017282-v	lemma	dormir
00018405-v	lemma	erguer
00018405-v	lemma	levantar
00018526-v	lemma	acordar
00018526-v	lemma	despertar
00018526-v	lemma	levantar-se
00018584-a	lemma	inaceitável
00018584-a	lemma	inadmissível
00018813-v	lemma	acordar
00018813-v	lemma	despertar
00018850-a	lemma	inaceitável
00019128-n	lemma	natureza
00019128-n	lemma	objeto natural
00019339-r	lemma	sempre
00019448-v	lemma	afetar
00019505-a	lemma	começ-$$$-capaz
00019613-n	lemma	substância
00019731-a	lemma	cômodo
00019731-a	lemma	prático
00019731-a	lemma	útil
00019792-v	lemma	atacar
00019874-a	lemma	inacessível
00019982-v	lemma	ulcerar
00020103-a	lemma	distante
00020142-r	lemma	consecutivamente
00020142-r	lemma	sucessivamente
00020280-r	lemma	constantemente
00020280-r	lemma	continuamente
00020280-r	lemma	eternamente
00020280-r	lemma	incessantemente
00020280-r	lemma	perpetuamente
00020280-r	lemma	sempre
00020476-r	lemma	invariavelmente
00020476-r	lemma	sempre
00020671-v	lemma	hipnotizar
00020759-r	lemma	jamais
00020759-r	lemma	nunca
00020787-a	lemma	prestável
00020827-n	lemma	matéria
00020827-n	lemma	substância
00021065-v	lemma	anestesiar
00021110-a	lemma	obsequioso
00021212-r	lemma	ocasionalmente
00021212-r	lemma	outrora
00021265-n	lemma	alimento
00021265-n	lemma	comida
00021265-n	lemma	nutriente
00021734-n	lemma	Nutrientes
00021734-n	lemma	nutriente
00021766-a	lemma	acurado
00021766-a	lemma	exacto
00021766-a	lemma	exato
00021766-a	lemma	preciso
00021878-r	lemma	outrora
00021939-n	lemma	artefato
00021939-n	lemma	produto
00021939-n	lemma	utensílio
00022131-r	lemma	enquanto
00022131-r	lemma	ingualmente
00022131-r	lemma	qual
00022131-r	lemma	quão
00022131-r	lemma	segundo
00022131-r	lemma	tão
00022131-r	lemma	ídem
00022219-a	lemma	fiel
00022686-v	lemma	animar
00022686-v	lemma	energizar
00022686-v	lemma	estimular
00022686-v	lemma	excitar
00022829-r	lemma	praticamente
00022852-a	lemma	cirúrgico
00023074-r	lemma	tanto
00023100-n	lemma	característica psicológica
00023263-r	lemma	paradoxalmente
00023271-n	lemma	cognição
00023271-n	lemma	compreensão
00023271-n	lemma	conhecimento
00023271-n	lemma	noção
00023646-v	lemma	Síncope
00023646-v	lemma	desfalecer
00023646-v	lemma	desmaiar
00023646-v	lemma	esvanecer
00023646-v	lemma	síncope
00023773-n	lemma	intenção
00023773-n	lemma	motivação
00023773-n	lemma	necessidade
00024047-v	lemma	acordar
00024139-a	lemma	infiel
00024264-n	lemma	atributo
00024264-n	lemma	característica
00024264-n	lemma	predicado
00024264-n	lemma	propriedade
00024417-a	lemma	costumado
00024417-a	lemma	habituado
00024417-a	lemma	habitual
00024619-a	lemma	habituado
00024619-a	lemma	usual
00024649-v	lemma	refrescar
00024720-n	lemma	condição
00024720-n	lemma	estado
00024720-n	lemma	situação
00024814-v	lemma	refrescar
00025203-v	lemma	estressar
00025238-a	lemma	ácida
00025290-r	lemma	algures
00025290-r	lemma	nenhures
00025470-a	lemma	azeda
00025728-a	lemma	alcalino
00026192-n	lemma	sentimento
00026385-v	lemma	descontrair
00026385-v	lemma	pegar leve
00026385-v	lemma	relaxar
00026515-a	lemma	anfotérico
00027167-n	lemma	lugar
00027167-n	lemma	ponto
00027268-v	lemma	alongar
00027268-v	lemma	estender
00027268-v	lemma	esticar
00027384-r	lemma	adespeitode
00027384-r	lemma	apesarde
00027384-r	lemma	contudo
00027384-r	lemma	nãoobstante
00027384-r	lemma	porém
00027599-a	lemma	aceitado
00027599-a	lemma	aceito
00027599-a	lemma	reconhecido
00027807-n	lemma	forma
00027807-n	lemma	forma geométrica
00027807-n	lemma	formato
00027918-r	lemma	até
00028181-a	lemma	declarável
00028270-n	lemma	espaço temporal
00028270-n	lemma	tempo
00028280-a	lemma	suposto
00028471-a	lemma	putativo
00028565-v	lemma	sorrir
00029025-v	lemma	sorrir
00029037-r	lemma	fora
00029214-v	lemma	sorrir
00029336-v	lemma	sorrir
00029343-a	lemma	cobiçoso
00029343-a	lemma	sequioso
00029367-r	lemma	ademais
00029367-r	lemma	aliás
00029367-r	lemma	demais
00029367-r	lemma	mais
00029378-n	lemma	acontecimento
00029378-n	lemma	evento
00029378-n	lemma	fato
00029630-v	lemma	zurrar
00029769-a	lemma	acumulativo
00029769-a	lemma	cumulativo
00029933-a	lemma	avaro
00029933-a	lemma	ganancioso
00029933-a	lemma	ávido
00030358-n	lemma	ato
00030358-n	lemma	ação
00030358-n	lemma	feito
00030508-a	lemma	possessivo
00030798-a	lemma	predador
00030798-a	lemma	predatório
00031138-a	lemma	voraz
00031264-n	lemma	agrupação
00031264-n	lemma	conjunto
00031264-n	lemma	grupo
00031418-v	lemma	cacarejar
00031515-r	lemma	já não
00031515-r	lemma	jánão
00031515-r	lemma	não mas
00031515-r	lemma	nãomais
00031798-r	lemma	já
00031820-v	lemma	gargalhar
00031820-v	lemma	rir
00031921-n	lemma	conexão
00031921-n	lemma	relação
00032180-r	lemma	fabulosamente
00032180-r	lemma	fantasticamente
00032297-v	lemma	convulsionar
00032497-a	lemma	acrobático
00032497-a	lemma	atlético
00032613-n	lemma	bem
00032613-n	lemma	posse
00032613-n	lemma	propriedade
00032733-a	lemma	lesto
00032733-a	lemma	ligeiro
00032733-a	lemma	lépido
00032733-a	lemma	rápido
00032733-a	lemma	ágil
00032823-n	lemma	relação social
00032863-r	lemma	doravante
00033020-n	lemma	comunicação
00033020-n	lemma	mensagem
00033203-v	lemma	fulminar
00033206-a	lemma	hiperativo
00033406-v	lemma	olhar
00033421-r	lemma	imediatamente
00033421-r	lemma	instantaneamente
00033574-a	lemma	inativo
00033599-v	lemma	aparentar
